id,name,state,10-14,15-19,20-24,25-29,30-34,35-39,40-49,5-9,50-59,60-69,70-79,80+,latitude,longitude
116,Chikmagalur ,KARNATAKA ,14,14,14,14,11,13,22,11,15,10,4,1,0.232677,1.322445
117,Chirang ,ASSAM ,29,25,22,22,18,18,26,30,15,9,4,1,0.465213,1.581031
118,Chitradurga ,KARNATAKA ,18,19,18,17,14,15,25,16,16,12,5,2,0.248391,1.333421
119,Chitrakoot ,UTTAR PRADESH ,42,30,24,21,20,18,27,43,17,15,7,2,0.439455,1.411567
120,Chittaurgarh ,RAJASTHAN ,20,19,18,15,14,13,22,20,14,10,5,2,0.434232,1.302407
121,Chittoor ,ANDHRA PRADESH ,24,24,24,24,20,21,34,22,23,18,8,2,0.230406,1.380297
122,Churachandpur ,MANIPUR ,6,6,6,5,4,3,6,6,4,2,1,0,0.424700,1.634850
123,Churu ,RAJASTHAN ,18,15,14,11,10,8,14,17,8,6,3,1,0.493914,1.308388
124,Coimbatore ,TAMIL NADU ,55,54,59,66,62,63,109,48,77,49,23,9,0.192784,1.343530
125,Cuddalore ,TAMIL NADU ,63,64,63,65,54,57,94,57,62,40,18,6,0.205248,1.392193
126,Cuttack ,ODISHA ,60,62,63,61,52,51,84,52,56,40,22,8,0.357138,1.499176
127,Dadra & Nagar Haveli ,DADRA and NAGAR HAVELI ,71,67,90,81,62,51,65,73,33,19,6,2,0.353284,1.274389
128,Dahod   ,GUJARAT ,75,56,48,44,40,34,53,78,34,21,9,3,0.398682,1.295895
129,Dakshin Bastar Dantewada ,CHHATTISGARH ,7,6,6,5,4,4,7,8,4,2,0,0,0.323772,1.422018
130,Dakshin Dinajpur ,WEST BENGAL ,83,78,69,62,53,58,97,70,61,39,15,6,0.442445,1.546267
131,Dakshina Kannada ,KARNATAKA ,36,39,43,39,34,33,57,32,41,25,12,4,0.224564,1.314192
132,Daman ,DAMAN and DIU ,160,289,467,397,275,217,240,183,110,65,27,10,0.356914,1.271598
133,Damoh ,MADHYA PRADESH ,20,16,15,13,12,11,18,19,11,8,3,1,0.415884,1.386482
134,Darbhanga ,BIHAR ,232,159,135,123,114,106,159,247,104,87,30,9,0.456283,1.499301
135,Darjiling  ,WEST BENGAL ,59,59,58,56,47,46,72,51,47,27,12,4,0.471802,1.540424
136,Darrang ,ASSAM ,69,53,50,50,41,40,60,76,36,22,10,4,0.465389,1.620041
137,Datia ,MADHYA PRADESH ,32,28,25,21,20,18,28,29,17,13,6,2,0.454315,1.364038
138,Dausa ,RAJASTHAN ,61,54,44,35,31,29,44,57,27,20,9,3,0.469428,1.332193
139,Davanagere ,KARNATAKA ,31,33,32,30,24,25,40,27,26,19,8,3,0.252339,1.325016
140,Debagarh ,ODISHA ,11,10,9,9,7,7,12,10,8,6,2,0,0.375903,1.478882
141,Dehradun ,UTTARAKHAND ,54,56,56,50,42,39,62,50,41,29,12,5,0.529004,1.362131
142,Deoghar ,JHARKHAND ,74,53,51,48,42,37,56,78,37,29,11,3,0.427528,1.513044
143,Deoria ,UTTAR PRADESH ,160,143,99,85,76,73,111,158,78,66,31,13,0.457006,1.483705
144,Dewas ,MADHYA PRADESH ,26,22,20,17,16,14,24,25,14,10,5,2,0.400674,1.327218
145,Dhalai ,TRIPURA ,17,15,15,14,11,11,16,17,9,6,3,1,0.416863,1.604663
146,Dhamtari  ,CHHATTISGARH ,21,20,18,15,14,14,23,18,14,10,4,1,0.361382,1.423272
147,Dhanbad ,JHARKHAND ,156,142,122,111,93,87,137,144,94,55,18,6,0.415542,1.508516
148,Dhar ,MADHYA PRADESH ,33,26,23,21,19,18,27,33,16,10,4,2,0.394375,1.314345
149,Dharmapuri ,TAMIL NADU ,32,31,30,30,25,27,44,28,28,19,8,3,0.211880,1.364117
150,Dharwad ,KARNATAKA ,40,41,43,39,32,33,52,37,34,25,10,3,0.269694,1.309014
151,Dhaulpur ,RAJASTHAN ,55,45,36,28,25,22,34,53,21,15,7,2,0.466099,1.359443
152,Dhemaji ,ASSAM ,25,21,19,19,16,14,21,25,12,8,3,1,0.479675,1.650791
153,Dhenkanal ,ODISHA ,26,25,24,23,20,20,32,23,22,16,7,2,0.360555,1.493825
154,Dhubri ,ASSAM ,106,85,82,75,61,56,84,122,50,30,14,6,0.454149,1.570488
155,Dhule ,MAHARASHTRA ,30,27,25,23,20,19,31,29,21,16,7,2,0.364650,1.305023
156,Dibang Valley ,ARUNACHAL PRADESH ,0,0,0,0,0,0,0,0,0,0,0,0,0.506346,1.672633
157,Dibrugarh ,ASSAM ,40,38,38,37,31,30,47,38,28,16,6,2,0.479389,1.656551
158,Dima Hasao ,ASSAM ,5,4,4,4,3,3,4,4,2,1,0,0,0.442577,1.623882
159,Dimapur  ,NAGALAND ,46,45,46,42,34,29,42,43,21,10,4,2,0.452190,1.635748
160,Dindigul ,TAMIL NADU ,31,30,30,32,28,29,49,26,34,24,10,3,0.180952,1.360925
161,Dindori  ,MADHYA PRADESH ,10,8,8,7,6,6,10,10,6,4,1,0,0.352710,1.288536
