id,name,state,pop_density,latitude,longitude
497,Bongaigaon,Assam,676,0.462167,1.580491
498,The Nilgiris,Tamil Nadu,287,0.199869,1.338323
499,Kandhamal,Odisha,91,0.352762,1.467840
500,Alirajpur,Madhya Pradesh,229,0.389283,1.297741
501,Latehar,Jharkhand,169,0.414387,1.474825
502,Kodarma,Jharkhand,282,0.426489,1.492769
503,Dindori,Madhya Pradesh,94,0.352710,1.288536
504,Arwal,Bihar,1099,0.440562,1.477686
505,North Tripura,Tripura,341,0.421024,1.609089
506,Sheopur,Madhya Pradesh,104,0.448041,1.338587
507,Garhwal,Uttarakhand,129,0.520653,1.374928
508,Dhemaji,Assam,212,0.479675,1.650791
509,Rupnagar,Punjab,505,0.540440,1.335541
510,Jaisalmer,Rajasthan,17,0.469768,1.237739
511,Hailakandi,Assam,497,0.430765,1.615570
512,Koriya,Chhattisgarh,100,0.410991,1.436869
513,Sheohar,Bihar,1880,0.462755,1.488651
514,Umaria,Madhya Pradesh,158,0.410608,1.410886
515,West Garo Hills,Meghalaya,175,0.447685,1.574520
516,Rajouri,Jammu and Kashmir,244,0.582511,1.296926
517,South Goa,Goa,326,0.263969,1.293609
518,Sheikhpura,Bihar,924,0.438787,1.498249
519,Almora,Uttarakhand,198,0.516587,1.390266
520,Tehri Garhwal,Uttarakhand,170,0.530224,1.369498
521,Faridkot,Punjab,424,0.535368,1.304789
522,Kathua,Jammu and Kashmir,246,0.565037,1.318129
523,Malkangiri,Odisha,106,0.320648,1.428923
524,Shahid Bhagat Singh Nagar,Punjab,478,0.439165,1.414747
525,Nuapada,Odisha,158,0.349867,1.443690
526,Subarnapur,Odisha,261,0.363711,1.464423
527,Fatehgarh Sahib,Punjab,509,0.534139,1.333510
528,Simdega,Jharkhand,159,0.394708,1.474779
529,Barnala,Punjab,402,0.530063,1.318477
530,Narmada,Gujarat,210,0.379668,1.285482
531,Porbandar,Gujarat,253,0.377690,1.215066
532,Central,Delhi,27730,0.500011,1.347447
533,Solan,Himachal Pradesh,300,0.539430,1.345695
534,Jharsuguda,Odisha,274,0.381593,1.466304
535,Gajapati,Odisha,134,0.335456,1.469346
536,Harda,Madhya Pradesh,171,0.389997,1.345562
537,Perambalur,Tamil Nadu,322,0.196230,1.376551
538,Panchkula,Hariyana,625,0.535638,1.341305
539,Pulwama,Jammu and Kashmir,516,0.591214,1.307244
540,Udhampur,Jammu and Kashmir,210,0.574693,1.311392
541,Kodagu,Karnataka,135,0.215173,1.321724
542,Dakshin Bastar Dantewada,Chhattisgarh,64,0.323772,1.422018
543,Khunti,Jharkhand,210,0.402650,1.488457
544,Sirmaur,Himachal Pradesh,188,0.433475,1.420082
545,Una,Himachal Pradesh,338,0.363414,1.239890
546,Chamba,Himachal Pradesh,80,0.568224,1.328610
547,Imphal West,Manipur,998,0.430078,1.625851
548,Pithoragarh,Uttarakhand,68,0.516367,1.400308
549,Chirang,Assam,251,0.465213,1.581031
550,Senapati,Manipur,146,0.442378,1.642614
551,Punch,Jammu and Kashmir,285,0.589392,1.293151
552,Lohardaga,Jharkhand,307,0.409217,1.478058
553,Imphal East,Manipur,643,0.432938,1.639059
554,Hamirpur,Himachal Pradesh,407,0.452983,1.398923
555,Baudh,Odisha,142,0.361701,1.468452
556,Kullu,Himachal Pradesh,80,0.557780,1.345810
557,Kulgam,Jammu and Kashmir,1035,0.587209,1.309323
558,Thoubal,Manipur,821,0.430028,1.640546
559,Doda,Jammu and Kashmir,46,0.578555,1.318528
560,Aizawl,Mizoram,112,0.414236,1.618236
561,Jaintia Hills,Meghalaya,103,0.441933,1.612248
562,Bandipora,Jammu and Kashmir,1137,0.602267,1.305001
563,Chamoli,Uttarakhand,49,0.530627,1.384623
564,West Khasi Hills,Meghalaya,73,0.447685,1.574520
565,Bilaspur,Himachal Pradesh,327,0.385112,1.433746
566,Dimapur,Nagaland,409,0.452190,1.635748
567,Dhalai,Tripura,158,0.416863,1.604663
568,Dadra & Nagar Haveli,Dadra and Nagar Haveli,700,0.353284,1.274389
569,Uttarkashi,Uttarakhand,41,0.536307,1.369062
570,Samba,Jammu and Kashmir,353,0.568293,1.311062
571,East Garo Hills,Meghalaya,122,0.448729,1.581867
572,Reasi,Jammu and Kashmir,183,0.577375,1.306072
573,Debagarh,Odisha,106,0.375903,1.478882
574,Ganderbal,Jammu and Kashmir,1148,0.597425,1.305128
575,Ramban,Jammu and Kashmir,213,0.580161,1.313145
576,East District,Sikkim,297,0.476249,1.547724
577,Churachandpur,Manipur,60,0.424700,1.634850
578,Kohima,Nagaland,183,0.448092,1.642504
579,Shupiyan,Jammu and Kashmir,853,0.588477,1.306102
580,Bageshwar,Uttarakhand,116,0.520764,1.392274
581,Champawat,Uttarakhand,147,0.511982,1.397887
582,Bijapur,Chhattisgarh,30,0.293721,1.321549
583,Mon,Nagaland,140,0.466628,1.659082
584,Rudraprayag,Uttarakhand,122,0.532912,1.379517
585,South Andaman,Andaman and Nicobar,89,0.205470,1.616570
586,Bishnupur,Manipur,479,0.429838,1.636420
587,Kishtwar,Jammu and Kashmir,140,0.581430,1.322388
588,The Dangs,Gujarat,129,0.362955,1.285882
589,Dima Hasao,Assam,44,0.442577,1.623882
590,Karaikal,Puducherry,1275,0.190807,1.393404
591,Tuensang,Nagaland,78,0.458011,1.654829
592,Mokokchung,Nagaland,121,0.459440,1.649706
593,Daman,Daman and Diu,2655,0.356914,1.271598
594,Ukhrul,Manipur,40,0.438419,1.646965
595,Papum Pare,Arunachal Pradesh,51,0.473991,1.632243
596,Wokha,Nagaland,102,0.455498,1.645087
597,Phek,Nagaland,81,0.447968,1.649336
598,Lunglei,Mizoram,36,0.399542,1.618702
599,Changlang,Arunachal Pradesh,32,0.473539,1.670889
600,South District,Sikkim,196,0.497934,1.348216
601,Lohit,Arunachal Pradesh,28,0.485837,1.679047
602,Chandel,Manipur,44,0.422710,1.642328
603,South Garo Hills,Meghalaya,75,0.441512,1.581012
604,New Delhi,Delhi,4057,0.498417,1.346760
605,Kargil,Jammu and Kashmir,10,0.603145,1.328653
606,Zunheboto,Nagaland,112,0.453204,1.649627
607,Tamenglong,Manipur,32,0.436619,1.631629
608,Narayanpur,Chhattisgarh,30,0.311695,1.343443
609,West District,Sikkim,117,0.477218,1.539052
610,Leh,Jammu and Kashmir,3,0.596073,1.353962
611,Champhai,Mizoram,39,0.411188,1.627274
612,Lawngtlai,Mizoram,46,0.393267,1.621394
613,West Siang,Arunachal Pradesh,13,0.492505,1.651837
614,Tirap,Arunachal Pradesh,47,0.470409,1.665692
615,North & Middle Andaman,Andaman and Nicobar,28,0.230629,1.622170
616,East Siang,Arunachal Pradesh,28,0.488589,1.660420
617,Peren,Nagaland,58,0.445031,1.633957
618,Kurung Kumey,Arunachal Pradesh,15,0.488011,1.632130
619,Mamit,Mizoram,29,0.417605,1.614249
620,Kinnaur,Himachal Pradesh,13,0.551930,1.368595
621,Kolasib,Mizoram,61,0.422786,1.617548
622,West Kameng,Arunachal Pradesh,11,0.476988,1.612729
623,Upper Subansiri,Arunachal Pradesh,12,0.492153,1.642771
624,Lower Subansiri,Arunachal Pradesh,24,0.482096,1.640044
625,East Kameng,Arunachal Pradesh,19,0.479196,1.624069
626,Kiphire,Nagaland,65,0.452005,1.653346
627,Serchhip,Mizoram,46,0.406542,1.620482
628,Lakshadweep,Lakshadweep,2149,0.196823,1.292295
629,Saiha,Mizoram,40,0.392556,1.622832
630,Yanam,Puducherry,1854,0.292027,1.434834
631,Lower Dibang Valley,Arunachal Pradesh,14,0.492811,1.671964
632,Diu,Daman and Diu,1335,0.361487,1.238311
633,Longleng,Nagaland,90,0.462336,1.654881
634,Tawang,Arunachal Pradesh,23,0.481260,1.604383
635,North District,Sikkim,10,0.484119,1.545312
636,Mahe,Puducherry,4646,0.204233,1.318380
637,Upper Siang,Arunachal Pradesh,5,0.503631,1.657685
638,Lahul & Spiti,Himachal Pradesh,2,0.568110,1.354642
639,Anjaw,Arunachal Pradesh,3,0.489835,1.689981
640,Dibang Valley,Arunachal Pradesh,1,0.506346,1.672633
