id,name,state,pop_density,latitude,longitude
95,Coimbatore,Tamil Nadu,731,0.192784,1.343530
96,Meerut,Uttar Pradesh,1346,0.505800,1.356111
97,Gonda,Uttar Pradesh,858,0.473603,1.430432
98,Sitamarhi,Bihar,1492,0.464074,1.492421
99,Rae Bareli,Uttar Pradesh,739,0.457637,1.418063
100,Prakasam,Andhra Pradesh,193,0.271717,1.384782
101,Nanded,Maharashtra,319,0.334528,1.349347
102,Durg,Chhattisgarh,392,0.369931,1.418741
103,Siwan,Bihar,1501,0.457737,1.472384
104,Nagaur,Rajasthan,187,0.474771,1.286895
105,Thiruvananthapuram,Kerala,1508,0.148134,1.343081
106,Ernakulam,Kerala,1072,0.173945,1.331685
107,Indore,Madhya Pradesh,841,0.396621,1.324120
108,Purnia,Bihar,1011,0.449868,1.526767
109,Barabanki,Uttar Pradesh,741,0.469972,1.417125
110,Ballia,Uttar Pradesh,1087,0.492193,1.385172
111,Pratapgarh,Uttar Pradesh,863,0.455280,1.451934
112,Thrissur,Kerala,1031,0.183686,1.330650
113,Banaskantha,Gujarat,290,0.424224,1.252267
114,Unnao,Uttar Pradesh,682,0.463081,1.404664
115,Deoria,Uttar Pradesh,1221,0.457006,1.483705
116,Kozhikode,Kerala,1316,0.196505,1.322639
117,Mumbai,Maharashtra,19652,0.333909,1.272195
118,Tirunelveli,Tamil Nadu,460,0.151985,1.356846
119,Katihar,Bihar,1005,0.445667,1.528421
120,Udaipur,Rajasthan,262,0.429211,1.286483
121,Madurai,Tamil Nadu,819,0.173422,1.363630
122,Bhagalpur,Bihar,1182,0.440708,1.518258
123,Medak,Andhra Pradesh,313,0.314932,1.365934
124,Uttar Dinajpur,West Bengal,958,0.447535,1.539598
125,Shahjahanpur,Uttar Pradesh,685,0.486573,1.394662
126,Satara,Maharashtra,287,0.308703,1.291824
127,Mysore,Karnataka,476,0.215019,1.337359
128,Begusarai,Bihar,1549,0.443611,1.503351
129,Sri Potti Sriramulu Nellore,Andhra Pradesh,227,0.252126,1.391786
130,Rohtas,Bihar,763,0.429842,1.464612
131,Puruliya,West Bengal,468,0.407163,1.507392
132,Ranchi,Jharkhand,572,0.407841,1.488737
133,Amravati,Maharashtra,237,0.365513,1.357169
134,YSR,Andhra Pradesh,188,0.298052,1.425330
135,Bhavnagar,Gujarat,287,0.379869,1.259169
136,Nalanda,Bihar,1222,0.440094,1.491032
137,Nagaon,Assam,711,0.292468,1.296694
138,Sangli,Maharashtra,329,0.294209,1.302112
139,Koch Bihar,West Bengal,832,0.459534,1.561304
140,Araria,Bihar,993,0.456105,1.526493
141,Palakkad,Kerala,627,0.188128,1.337921
142,Khammam,Andhra Pradesh,175,0.301151,1.398889
143,Yavatmal,Maharashtra,204,0.355774,1.363412
144,Junagadh,Gujarat,311,0.375585,1.229680
145,Adilabad,Andhra Pradesh,170,0.343321,1.370591
146,South,Delhi,11060,0.497934,1.348216
147,Bhojpur,Bihar,1139,0.405711,1.215986
148,Tiruchirappalli,Tamil Nadu,604,0.188466,1.373434
149,Srikakulam,Andhra Pradesh,463,0.319344,1.464376
150,Maharajganj,Uttar Pradesh,909,0.473756,1.458399
151,Dhanbad,Jharkhand,1316,0.415542,1.508516
152,Tumkur,Karnataka,253,0.232699,1.345794
153,Sikar,Rajasthan,346,0.481726,1.311675
154,Bilaspur,Chhattisgarh,322,0.385112,1.433746
155,Kollam,Kerala,1061,0.155086,1.336702
156,Raigad,Maharashtra,368,0.323162,1.277270
157,Fatehpur,Uttar Pradesh,634,0.452651,1.410400
158,Cuttack,Odisha,667,0.357138,1.499176
159,Cuddalore,Tamil Nadu,704,0.205248,1.392193
160,Barmer,Rajasthan,92,0.449432,1.246279
161,Buldana,Maharashtra,268,0.358341,1.329536
162,Bid,Maharashtra,242,0.331468,1.322099
163,Ajmer,Rajasthan,305,0.461982,1.302681
164,Gulbarga,Karnataka,234,0.302656,1.340968
165,Gopalganj,Bihar,1260,0.460999,1.474115
166,Siddharthnagar,Uttar Pradesh,884,0.475792,1.447018
167,Nizamabad,Andhra Pradesh,321,0.325816,1.363011
168,Bharatpur,Rajasthan,503,0.475057,1.352670
169,Mathura,Uttar Pradesh,763,0.343151,1.480537
170,West,Delhi,19563,0.500045,1.345020
171,Aurangabad,Bihar,769,0.432005,1.472545
172,Kannur,Kerala,852,0.207118,1.315385
173,Mayurbhanj,Odisha,242,0.382100,1.508162
174,Firozabad,Uttar Pradesh,1038,0.473953,1.368330
175,Mirzapur,Uttar Pradesh,567,0.438745,1.441110
176,Amritsar,Punjab,928,0.552273,1.306668
177,Tiruppur,Tamil Nadu,478,0.194192,1.349708
178,Faizabad,Uttar Pradesh,1056,0.467252,1.433779
179,Tiruvannamalai,Tamil Nadu,398,0.213579,1.379819
180,Basti,Uttar Pradesh,917,0.467691,1.444113
181,Jabalpur,Madhya Pradesh,473,0.404380,1.395153
182,Latur,Maharashtra,343,0.321124,1.336208
183,Bellary,Karnataka,290,0.264304,1.342629
184,Giridih,Jharkhand,493,0.422140,1.506259
185,Sabarkantha,Gujarat,328,0.412417,1.274125
186,Bhilwara,Rajasthan,230,0.442399,1.302612
187,Thanjavur,Tamil Nadu,705,0.187861,1.380983
188,Ambedkar Nagar,Uttar Pradesh,1020,0.461220,1.442065
189,Panchmahal,Gujarat,457,0.499632,1.349313
190,Sagar,Madhya Pradesh,232,0.416019,1.374383
191,Bhopal,Madhya Pradesh,855,0.405623,1.351430
192,Rewa,Madhya Pradesh,375,0.428457,1.419371
193,Bikaner,Rajasthan,78,0.488976,1.279578
194,Surguja,Chhattisgarh,150,0.409237,1.452191
195,Vizianagaram,Andhra Pradesh,359,0.316168,1.455815
196,Rampur,Uttar Pradesh,987,0.502461,1.379293
197,Baleshwar,Odisha,610,0.375174,1.517044
198,Kheda,Gujarat,582,0.397087,1.268607
199,Gurdaspur,Punjab,647,0.559211,1.316069
200,Purbi Singhbhum,Jharkhand,644,0.393166,1.508996
201,South West,Delhi,5446,0.498833,1.343521
202,Erode,Tamil Nadu,391,0.198217,1.355863
203,Khordha,Odisha,800,0.352171,1.494292
204,North East,Delhi,36155,0.501002,1.348611
205,Supaul,Bihar,919,0.455883,1.511424
206,Satna,Madhya Pradesh,297,0.428938,1.411053
207,Nawada,Bihar,890,0.434422,1.492942
208,Mau,Uttar Pradesh,1288,0.452645,1.458506
209,Chandrapur,Maharashtra,193,0.348274,1.384085
210,Jalandhar,Punjab,836,0.546692,1.319206
211,Dhar,Madhya Pradesh,268,0.394375,1.314345
212,Bijapur,Karnataka,207,0.293721,1.321549
213,Jamnagar,Gujarat,152,0.392122,1.222746
214,Dindigul,Tamil Nadu,358,0.180952,1.360925
215,Balrampur,Uttar Pradesh,642,0.459076,1.449987
216,Jhunjhunun,Rajasthan,361,0.490847,1.315838
217,Alappuzha,Kerala,1504,0.165773,1.332365
218,Dahod,Gujarat,584,0.398682,1.295895
219,Sundargarh,Odisha,216,0.386087,1.466782
220,Anand,Gujarat,653,0.393731,1.273411
221,Kachchh,Gujarat,46,0.410433,1.215081
222,Chhindwara,Madhya Pradesh,177,0.385071,1.377701
223,Dakshina Kannada,Karnataka,430,0.224564,1.314192
224,Bokaro,Jharkhand,715,0.412884,1.503512
225,Dhule,Maharashtra,285,0.364650,1.305023
226,Churu,Rajasthan,147,0.493914,1.308388
227,Pali,Rajasthan,164,0.449785,1.279708
228,Mahesana,Gujarat,462,0.411947,1.263260
229,Banka,Bihar,674,0.434308,1.517077
230,Gwalior,Madhya Pradesh,446,0.457618,1.364616
231,Pilibhit,Uttar Pradesh,551,0.499620,1.392967
232,Firozpur,Punjab,382,0.539831,1.302249
233,Madhepura,Bihar,1120,0.453354,1.516256
234,Jhansi,Uttar Pradesh,398,0.444140,1.371138
235,Ujjain,Madhya Pradesh,326,0.404534,1.322828
236,Kottayam,Kerala,895,0.167323,1.335549
237,Ganganagar,Rajasthan,179,0.522036,1.289389
238,Morena,Madhya Pradesh,394,0.462562,1.361385
239,Jalna,Maharashtra,254,0.346300,1.324483
240,Chandauli,Uttar Pradesh,768,0.440821,1.453298
241,Kota,Rajasthan,374,0.438840,1.323820
242,Dhubri,Assam,896,0.454149,1.570488
243,Davanagere,Karnataka,328,0.252339,1.325016
244,Virudhunagar,Tamil Nadu,458,0.167328,1.360689
245,Palamu,Jharkhand,442,0.422623,1.469546
246,Raichur,Karnataka,228,0.282807,1.350065
247,Sonitpur,Assam,370,0.467433,1.613541
248,Saharsa,Bihar,1127,0.451750,1.511492
249,Patiala,Punjab,570,0.529576,1.333312
250,Hardwar,Uttarakhand,801,0.522503,1.363121
251,Bagalkot,Karnataka,288,0.282031,1.320443
252,Farrukhabad,Uttar Pradesh,864,0.477877,1.389397
253,Krishnagiri,Tamil Nadu,367,0.408409,1.544559
254,Khargone,Madhya Pradesh,233,0.380805,1.319695
255,Kanniyakumari,Tamil Nadu,1111,0.141097,1.353496
256,Mainpuri,Uttar Pradesh,677,0.475242,1.379367
