District,State,Density
Alwar,Rajasthan,438.44618138424823
Aligarh,Uttar Pradesh,1006.5449315068494
North West,Delhi,8254.038374717833
Ghazipur,Uttar Pradesh,1072.0367189813444
Bankura,West Bengal,522.6204591688463
Kushinagar,Uttar Pradesh,1227.03752151463
Ganjam,Odisha,430.0549597855228
Warangal,Andhra Pradesh,273.43733457885725
Birbhum,West Bengal,770.6059405940595
Bulandshahar,Uttar Pradesh,775.5254875886525
Ludhiana,Punjab,977.8476802683064
Vaishali,Bihar,1716.611493123772
Nalgonda,Andhra Pradesh,245.0006320224719
Bahraich,Uttar Pradesh,665.978804659156
Salem,Tamil Nadu,664.8951689898797
Saharanpur,Uttar Pradesh,939.6535646516671
Viluppuram,Tamil Nadu,480.79969418960246
Coimbatore,Tamil Nadu,730.778740490279
Meerut,Uttar Pradesh,1345.716686205549
Gonda,Uttar Pradesh,857.8363727204596
Sitamarhi,Bihar,1492.4036617262423
Rae Bareli,Uttar Pradesh,738.8932523323931
Prakasam,Andhra Pradesh,192.75207080449337
Nanded,Maharashtra,319.2716565349544
Durg,Chhattisgarh,391.7834797891037
Siwan,Bihar,1500.8850833708877
Nagaur,Rajasthan,186.68828310193024
Thiruvananthapuram,Kerala,1508.1895842850618
Ernakulam,Kerala,1071.6252040483187
Indore,Madhya Pradesh,840.6097998973833
Purnia,Bihar,1011.0309693403531
Barabanki,Uttar Pradesh,740.731258518855
Ballia,Uttar Pradesh,1086.8077826232807
Pratapgarh,Uttar Pradesh,863.3685768092548
Thrissur,Kerala,1031.1199207135778
Banaskantha,Gujarat,290.4687703620962
Unnao,Uttar Pradesh,681.958534444932
Deoria,Uttar Pradesh,1220.8448818897639
Kozhikode,Kerala,1316.1164179104478
Mumbai,Maharashtra,19652.299363057326
Tirunelveli,Tamil Nadu,459.76886299118485
Katihar,Bihar,1004.5891396794243
Udaipur,Rajasthan,261.7212555441829
Madurai,Tamil Nadu,818.9358490566037
Bhagalpur,Bihar,1182.4702218762163
Medak,Andhra Pradesh,312.7423445716053
Uttar Dinajpur,West Bengal,957.6859872611465
Shahjahanpur,Uttar Pradesh,685.172743846855
Satara,Maharashtra,286.6165076335878
Mysore,Karnataka,475.840653242429
Begusarai,Bihar,1548.7700729927008
Sri Potti Sriramulu Nellore,Andhra Pradesh,226.64094524319364
Rohtas,Bihar,762.668899768101
Puruliya,West Bengal,468.14427224796293
Ranchi,Jharkhand,571.758485383559
Amravati,Maharashtra,236.56388206388206
YSR,Andhra Pradesh,187.67296047919785
Bhavnagar,Gujarat,287.06049431931433
Nalanda,Bihar,1221.9333333333334
Nagaon,Assam,710.7394915680845
Sangli,Maharashtra,329.2280681287914
Koch Bihar,West Bengal,832.3253616770003
Araria,Bihar,993.4872791519434
Palakkad,Kerala,626.9375278893351
Khammam,Andhra Pradesh,174.5193087528854
Yavatmal,Maharashtra,204.11927551170666
Junagadh,Gujarat,310.6196353753822
Adilabad,Andhra Pradesh,170.21043154299906
