District,State,Density,Latitude,Longitude
Jamnagar,Gujarat,152.29265369430345,22.466918,70.058208

Dindigul,Tamil Nadu,357.815606361829,10.367768,77.97524

Balrampur,Uttar Pradesh,641.5840549417736,26.30313,83.078119

Jhunjhunun,Rajasthan,360.50016869095816,28.123457,75.391991

Alappuzha,Kerala,1503.7378091872793,9.498073,76.338863

Dahod,Gujarat,584.043382756727,22.842816,74.249295

Sundargarh,Odisha,215.55158566721582,22.121176,84.040399

Anand,Gujarat,653.166354556804,22.559118,72.961052

Kachchh,Gujarat,45.81098655690327,23.516069,69.619009

Chhindwara,Madhya Pradesh,176.97181548878544,22.062958,78.936472

Dakshina Kannada,Karnataka,429.88047726805183,12.866554,75.297651

Bokaro,Jharkhand,715.3416579951439,23.656529,86.144869

Dhule,Maharashtra,285.03988881167476,20.892892,74.772323

Churu,Rajasthan,147.41937116010118,28.299182,74.965134

Pali,Rajasthan,164.49285541293293,25.770798,73.32189

Mahesana,Gujarat,462.40945239718246,23.602839,72.379467

Banka,Bihar,673.7625827814569,24.884024,86.922108

Gwalior,Madhya Pradesh,445.6219298245614,26.219587,78.186728

Pilibhit,Uttar Pradesh,551.0056972327726,28.626112,79.811155

Firozpur,Punjab,382.4833176248822,30.930063,74.613389

Madhepura,Bihar,1119.5536912751677,25.975286,86.875068

Jhansi,Uttar Pradesh,397.8111066878981,25.44737,78.560422

Ujjain,Madhya Pradesh,326.1966836315876,23.178114,75.792468

Kottayam,Kerala,895.0820489573889,9.58692,76.521324

Ganganagar,Rajasthan,179.37402076881034,29.910454,73.876544

Morena,Madhya Pradesh,394.06093405492084,26.50286,78.00163

Jalna,Maharashtra,253.8281938325991,19.841513,75.887288

Chandauli,Uttar Pradesh,768.4990161353797,25.25716,83.26787

Kota,Rajasthan,373.97239792984476,25.143668,75.849275

Dhubri,Assam,895.7987132352941,26.020831,89.982315

Davanagere,Karnataka,328.40935178933154,14.45796,75.917837

Virudhunagar,Tamil Nadu,457.9787785899552,9.587178,77.961746

Palamu,Jharkhand,441.58183473708175,24.214533,84.198799

Raichur,Karnataka,228.47808576166784,16.203638,77.353034

Sonitpur,Assam,369.7367409684858,26.78196,92.44907

Saharsa,Bihar,1126.6514522821576,25.883353,86.602123

